Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,246.119995,249.899994,243.199997,245.830002,241.460342,760600
2019-08-02,245.410004,247.690002,244.389999,244.750000,240.399536,537700
2019-08-05,240.529999,242.330002,236.169998,239.720001,235.458954,990900
2019-08-06,241.210007,244.259995,240.000000,242.509995,238.199341,589800
2019-08-07,241.720001,246.210007,240.500000,245.740005,241.371948,690600
2019-08-08,246.250000,248.850006,244.990005,246.750000,242.363983,703300
2019-08-09,246.190002,250.979996,243.539993,247.830002,243.424805,586800
2019-08-12,247.190002,248.750000,239.479996,240.009995,235.743774,803800
2019-08-13,240.289993,243.979996,238.110001,240.600006,236.323318,611100
2019-08-14,239.160004,239.160004,235.339996,236.199997,232.001480,702800
2019-08-15,236.259995,238.820007,232.020004,232.889999,228.750351,900000
2019-08-16,234.570007,235.970001,231.470001,234.949997,230.773727,688400
2019-08-19,236.070007,238.820007,229.710007,232.020004,227.895828,671700
2019-08-20,231.960007,233.360001,225.059998,232.429993,228.298523,1086300
2019-08-21,233.080002,234.139999,228.889999,231.520004,227.404709,701800
2019-08-22,231.149994,231.979996,226.580002,231.850006,227.728836,635500
2019-08-23,231.320007,233.419998,225.509995,226.149994,222.130142,712400
2019-08-26,227.789993,228.940002,224.869995,227.690002,223.642776,614600
2019-08-27,227.990005,228.440002,220.899994,222.449997,218.495926,1133800
2019-08-28,221.809998,226.899994,221.809998,225.850006,221.835495,750500
2019-08-29,227.470001,228.809998,224.979996,225.259995,221.255936,533800
2019-08-30,226.309998,226.940002,224.009995,226.839996,222.807892,510300
2019-09-03,224.570007,228.839996,223.399994,226.869995,222.837357,1225000
2019-09-04,228.240005,241.190002,228.000000,239.059998,234.810654,1667600
2019-09-05,241.559998,245.880005,240.740005,244.830002,240.478119,1116500
2019-09-06,245.110001,246.330002,236.419998,237.350006,233.131088,1057600
2019-09-09,238.139999,241.160004,235.869995,239.199997,234.948181,766900
2019-09-10,239.229996,243.580002,231.850006,243.570007,239.240524,666800
2019-09-11,243.600006,249.389999,242.119995,249.089996,244.662384,749300
2019-09-12,248.039993,249.139999,245.869995,246.789993,243.037460,735800
2019-09-13,247.100006,247.699997,243.729996,245.050003,241.323929,740800
2019-09-16,245.539993,246.470001,243.080002,244.789993,241.067886,1064700
2019-09-17,243.850006,245.199997,237.660004,243.539993,239.836884,658200
2019-09-18,244.149994,245.210007,242.490005,245.000000,241.274704,495100
2019-09-19,244.380005,247.699997,243.100006,247.009995,243.254105,459200
2019-09-20,248.130005,248.800003,245.809998,247.619995,243.854828,730800
2019-09-23,247.320007,248.110001,245.539993,246.259995,242.515518,795300
2019-09-24,247.350006,248.210007,242.529999,242.970001,239.275574,824200
2019-09-25,242.660004,243.720001,239.809998,241.449997,237.778687,840200
2019-09-26,240.949997,240.949997,237.119995,239.460007,235.818924,613000
2019-09-27,238.509995,240.960007,238.509995,240.460007,236.803726,395500
2019-09-30,240.559998,244.880005,240.500000,244.589996,240.870926,772000
2019-10-01,245.130005,246.440002,243.240005,245.770004,242.032974,592700
2019-10-02,244.000000,245.750000,241.300003,241.750000,238.074112,975400
2019-10-03,240.160004,243.889999,240.160004,243.350006,239.649780,671400
2019-10-04,247.940002,249.000000,241.300003,242.130005,238.448318,906600
2019-10-07,242.289993,247.220001,241.399994,242.210007,238.527115,2012400
2019-10-08,230.500000,258.000000,227.500000,253.479996,249.625732,6498900
2019-10-09,251.509995,255.550003,248.070007,248.190002,244.416199,1908300
2019-10-10,248.429993,256.119995,247.500000,254.770004,250.896149,1056300
2019-10-11,256.119995,259.100006,252.500000,257.790009,253.870224,885600
2019-10-14,257.779999,257.989990,251.160004,252.199997,248.365219,541400
2019-10-15,253.220001,257.230011,251.800003,255.729996,251.841522,674800
2019-10-16,254.889999,257.609985,253.080002,255.960007,252.068039,525200
2019-10-17,256.119995,259.959991,255.779999,256.450012,252.550613,515100
2019-10-18,257.450012,258.399994,254.229996,255.699997,251.811996,609900
2019-10-21,256.609985,259.839996,255.669998,257.519989,253.604309,499600
2019-10-22,257.269989,259.470001,255.380005,258.940002,255.002716,343100
2019-10-23,258.739990,259.619995,255.460007,256.000000,252.107437,622200
2019-10-24,256.649994,264.100006,255.770004,263.600006,259.591888,852500
2019-10-25,263.029999,276.570007,263.029999,271.750000,267.617981,1436600
2019-10-28,272.359985,274.200012,268.730011,269.459991,265.362762,628400
2019-10-29,267.450012,267.670013,262.260010,263.179993,259.178284,1159700
2019-10-30,263.320007,271.989990,263.320007,270.899994,266.780853,684900
2019-10-31,271.670013,275.549988,268.089996,271.619995,267.489929,732500
2019-11-01,272.929993,274.750000,268.480011,269.260010,265.165802,534800
2019-11-04,268.059998,270.720001,265.010010,269.290009,265.195374,824400
2019-11-05,266.980011,276.750000,265.510010,276.309998,272.108612,748100
2019-11-06,276.829987,278.959991,273.329987,277.820007,273.595642,544500
2019-11-07,279.160004,283.470001,277.619995,282.679993,278.381744,853200
2019-11-08,282.679993,287.179993,278.660004,280.660004,276.392456,671200
2019-11-11,279.760010,282.920013,278.350006,280.690002,276.421997,663900
2019-11-12,281.429993,281.730011,276.429993,277.880005,273.654785,522400
2019-11-13,276.989990,280.380005,276.010010,279.399994,275.151642,435000
2019-11-14,278.690002,281.700012,276.820007,278.660004,274.422882,512000
2019-11-15,280.040009,282.350006,277.119995,281.410004,277.131042,629500
2019-11-18,281.220001,285.570007,280.209991,284.609985,280.282410,831500
2019-11-19,284.619995,288.309998,283.649994,285.739990,281.395264,491300
2019-11-20,286.489990,289.809998,285.760010,288.239990,283.857239,630500
2019-11-21,287.260010,290.760010,283.059998,284.049988,279.730896,1068300
2019-11-22,284.380005,287.350006,283.209991,285.760010,281.414948,391600
2019-11-25,288.799988,293.089996,287.970001,293.000000,288.544830,536400
2019-11-26,292.959991,296.250000,287.559998,289.140015,284.743530,1067500
2019-11-27,290.399994,295.890015,288.540009,295.329987,290.839417,571700
2019-11-29,295.420013,297.179993,293.799988,294.299988,289.825043,340900
2019-12-02,296.260010,298.980011,293.140015,294.049988,289.578857,949000
2019-12-03,290.000000,292.320007,283.700012,284.089996,279.770294,962500
2019-12-04,283.850006,288.899994,282.660004,286.000000,281.651306,1307000
2019-12-05,287.880005,288.880005,285.600006,286.869995,282.508026,674700
2019-12-06,288.579987,289.079987,286.410004,286.570007,282.212616,454600
2019-12-09,286.609985,288.640015,285.160004,286.369995,282.015625,759800
2019-12-10,287.049988,287.799988,283.399994,285.239990,280.902802,1144200
2019-12-11,285.260010,294.399994,285.260010,293.619995,289.155426,1162300
2019-12-12,292.950012,297.329987,292.609985,296.649994,292.787445,571100
2019-12-13,295.279999,298.329987,293.029999,294.929993,291.089844,450600
2019-12-16,295.010010,296.220001,291.790009,292.149994,288.346039,756400
2019-12-17,292.730011,292.730011,289.709991,291.750000,287.951294,1045500
2019-12-18,289.000000,291.040009,283.459991,284.320007,280.618042,1127800
2019-12-19,285.920013,293.549988,284.920013,292.000000,288.198029,1295700
2019-12-20,293.070007,293.070007,290.959991,292.000000,288.198029,571700
2019-12-23,292.420013,293.570007,288.029999,288.269989,284.516602,618700
2019-12-24,288.260010,290.690002,287.549988,289.640015,285.868774,265100
2019-12-26,290.309998,294.049988,288.850006,292.239990,288.434875,276100
2019-12-27,293.260010,294.209991,291.440002,292.309998,288.503998,455800
2019-12-30,292.410004,294.260010,290.679993,293.250000,289.431732,451600
2019-12-31,292.690002,295.970001,292.690002,293.779999,289.954865,519000
2020-01-02,293.790009,295.100006,292.130005,293.399994,289.579773,500000
2020-01-03,291.720001,295.260010,290.779999,294.670013,290.833252,490800
2020-01-06,294.000000,294.380005,291.779999,293.950012,290.122650,525400
2020-01-07,291.700012,293.250000,290.880005,291.850006,288.049988,501000
2020-01-08,291.190002,292.200012,288.880005,290.559998,286.776733,543000
2020-01-09,292.290009,293.660004,287.779999,288.899994,285.138367,994000
2020-01-10,290.779999,291.350006,287.100006,289.089996,285.325928,933400
2020-01-13,289.570007,290.709991,283.369995,284.000000,280.302185,726200
2020-01-14,284.029999,291.000000,284.029999,285.119995,281.407623,783800
2020-01-15,284.970001,292.579987,284.790009,288.570007,284.812653,619200
2020-01-16,289.309998,290.929993,286.950012,287.359985,283.618439,494800
2020-01-17,287.359985,288.869995,285.630005,286.470001,282.740021,475900
2020-01-21,286.459991,286.660004,282.339996,285.109985,281.397705,625300
2020-01-22,286.529999,288.820007,285.609985,285.910004,282.187347,456300
2020-01-23,285.489990,289.010010,284.500000,288.019989,284.269836,518600
2020-01-24,289.250000,289.250000,280.660004,285.100006,281.387878,479100
2020-01-27,282.079987,287.200012,281.220001,282.890015,279.206635,756300
2020-01-28,283.070007,287.119995,283.070007,284.179993,280.479858,328100
