Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,9.530000,9.590000,9.280000,9.310000,9.006506,58060800
2019-08-02,9.260000,9.340000,9.210000,9.280000,8.977483,41495200
2019-08-05,9.180000,9.270000,9.060000,9.230000,8.929112,47963400
2019-08-06,9.420000,9.510000,9.360000,9.480000,9.170962,51856100
2019-08-07,9.430000,9.560000,9.320000,9.530000,9.219334,43042400
2019-08-08,9.560000,9.620000,9.510000,9.560000,9.248356,25469000
2019-08-09,9.540000,9.580000,9.390000,9.450000,9.141941,38739700
2019-08-12,9.390000,9.430000,9.280000,9.290000,8.987157,23050400
2019-08-13,9.290000,9.420000,9.180000,9.260000,8.958136,28231500
2019-08-14,9.130000,9.150000,8.960000,9.000000,8.706611,45967400
2019-08-15,9.060000,9.060000,8.780000,8.860000,8.571175,40682800
2019-08-16,8.920000,9.000000,8.810000,8.960000,8.667914,27369900
2019-08-19,9.050000,9.100000,9.020000,9.030000,8.735632,21844000
2019-08-20,9.000000,9.070000,8.930000,8.960000,8.667914,25108600
2019-08-21,9.020000,9.050000,8.970000,9.040000,8.745307,20434800
2019-08-22,9.050000,9.140000,9.020000,9.040000,8.745307,20974700
2019-08-23,8.900000,8.990000,8.730000,8.770000,8.484109,44982300
2019-08-26,8.880000,8.910000,8.790000,8.820000,8.532478,31888200
2019-08-27,8.890000,8.910000,8.750000,8.760000,8.474435,23024400
2019-08-28,8.720000,9.040000,8.700000,9.000000,8.706611,35147300
2019-08-29,9.100000,9.140000,9.030000,9.120000,8.822700,22011000
2019-08-30,9.160000,9.230000,9.100000,9.170000,8.871069,32057900
2019-09-03,9.180000,9.200000,9.040000,9.100000,8.803351,26331000
2019-09-04,9.170000,9.230000,9.070000,9.200000,8.900091,27406400
2019-09-05,9.250000,9.400000,9.250000,9.340000,9.035527,36626800
2019-09-06,9.370000,9.410000,9.200000,9.340000,9.035527,29210100
2019-09-09,9.390000,9.650000,9.390000,9.540000,9.229008,48059400
2019-09-10,9.080000,9.420000,9.040000,9.420000,9.112919,70567300
2019-09-11,9.290000,9.430000,9.290000,9.420000,9.112919,34190300
2019-09-12,9.360000,9.480000,9.320000,9.410000,9.103246,35687700
2019-09-13,9.470000,9.590000,9.440000,9.450000,9.141941,27161300
